[00:00-00:01] 好 好 好
[00:01-00:03] 下一个节目是
[49:33-49:35] 都来家里小卖部集合了啊
[49:35-49:38] 来参加我的生学宴
[49:39-49:40] 那腾啊
[49:40-49:41] 你哥俩抓紧庆祝吧
[49:41-49:42] 我就先走了
[49:42-49:43] 我庆祝啥呀
[49:43-49:44] 你往哪儿跑啊你
[49:44-49:46] 反反归归 早晚抓着你
[49:46-49:47] 你这么严重吗
[49:47-49:48] 我得先走了
[49:48-49:49] 我得上散亚了
[49:49-49:50] 这真不行 我得散
[49:50-49:51] 我跟你一块儿去吧
[49:51-49:52] 咱俩换个地方
[49:52-49:53] 不是 你快上一点去
[49:53-49:54] 你别
[50:04-50:05] 这已经疯了
[50:09-50:10] 这情况最好也得留喀喇喇了
[50:10-50:11] 真的
[50:12-50:13] 老弟 你变
[50:15-50:16] 老弟 你变
[50:17-50:18] 不是 你
[50:19-50:20] 老弟 你变
[50:20-50:21] 我哥求你了 你真
[50:22-50:24] 你说你这咋跟家里人交代啊
[50:24-50:25] 老弟 你变
[50:38-50:39] 邓老师
[50:39-50:40] 拥抱你 跟你哥抱抱
[50:40-50:41] 邓老师有事儿呢啊
[50:43-50:44] 邓老师找啥急啊
[50:45-50:46] 邓老师吧
[50:46-50:48] 感觉在分儿上对你有点亏欠
[50:50-50:51] 妈
[50:51-50:52] 680还亏欠呢
[50:53-50:55] 那咋的 非得考上全国状元
[50:55-50:56] 就不亏欠了
[50:56-50:57] 那怎么可能呢
[50:57-50:58] 我明天要好好说说
[50:58-51:00] 咱俩都不一定能有明天了
[51:00-51:01] 邓老师
[51:01-51:03] 我对不起你
[51:03-51:04] 咋了 邓
[51:04-51:06] 高考出分儿了 没考好
[51:06-51:07] 你快说说说
[51:08-51:09] 你考多少分儿啊
[51:10-51:11] 300多分儿
[51:12-51:13] 这也和我差太多了
[51:13-51:15] 你咋甜恋说的呢我真
[51:15-51:17] 我平时怎么辅导你的啊
[51:17-51:19] 你这么考你对得起我吗
[51:19-51:20] 你别提了 天望哥
[51:20-51:22] 我这次还是来感谢你的呢
[51:22-51:24] 要不是你们辅导我
[51:24-51:26] 我都考不了这300分儿
[51:26-51:27] 你没有他辅导
[51:27-51:29] 今年你都有可能考满分儿
[51:30-51:31] 面对吧
[51:31-51:33] 那能咋的 只能面对了
[51:33-51:35] 你天望哥这个话说得对
[51:35-51:37] 该咋面对咋面对
[51:37-51:38] 你这种话
[51:38-51:39] 你怎么能面对呢
[51:39-51:40] 你这种话
[51:40-51:41] 你怎么能面对呢
[51:41-51:42] 天望哥说得对
[51:42-51:43] 该咋面对咋面对
[51:43-51:45] 那就好比说
[51:45-51:46] 那如果说啊
[51:46-51:47] 就是说的
[51:47-51:49] 天望今年就考180分儿
[51:49-51:50] 那他该咋面对
[51:50-51:52] 不也得咋面对嘛
[51:52-51:54] 这历史举的太极端
[51:54-51:55] 你不用安慰他哥
[51:55-51:58] 我那是安慰他那么老弟啊
[52:04-52:05] 你过来 你过来
[52:06-52:07] 那个童言无忌
[52:07-52:08] 你别往心里去
[52:08-52:09] 没往心里去
[52:09-52:10] 你说的全对
[52:10-52:11] 你别 给我
[52:11-52:11] 钱宝
[52:11-52:13] 这个我把家里边
[52:13-52:15] 珍藏了一个20年这样好久
[52:15-52:16] 我给你进工
[52:16-52:16] 我起了
[52:16-52:18] 你别起了 你说
[52:18-52:19] 我干了
[52:19-52:21] 那你要干了你就多余在这儿起
[52:21-52:23] 我哥俩还看你个人情
[52:23-52:25] 你回家起不一样吗你
[52:25-52:27] 那等一会儿人齐了我再干
[52:27-52:27] 不是 你别干了
[52:27-52:29] 不是 你听我说
[52:29-52:30] 你听我说
[52:30-52:32] 你先坐
[52:32-52:33] 这咋回事呢
[52:33-52:34] 这不再过两年
[52:34-52:36] 这逗逗这不也要参加高考了吗
[52:36-52:39] 我这不心思说我过来我起起精
[52:39-52:40] 问问你
[52:40-52:43] 是怎么培养出来像天放这样的人才
[52:44-52:46] 那我郑重声明
[52:46-52:49] 天放考多少分跟我一点关系都没有
[52:49-52:51] 完全是看他丢油自取
[52:53-52:54] 我能考这些分
[52:54-52:55] 全归功于我哥
[52:57-52:58] 你快滚一遍吧
[52:58-53:00] 你看你说你自己事得了
[53:00-53:01] 你俩还谦虚上了
[53:01-53:01] 你知不知道
[53:01-53:02] 天放
[53:02-53:03] 你仔细想想
[53:03-53:05] 天放哥 我也想取取经
[53:05-53:06] 取经
[53:07-53:08] 你取不着啥
[53:08-53:09] 我没咋学
[53:10-53:12] 我属于文曲型下凡
[53:12-53:13] 哎呦我说
[53:13-53:14] 我三姨夫那时候说了
[53:14-53:16] 说我出生那天呢
[53:16-53:17] 就天降一向
[53:17-53:19] 就当时那乌云呐
[53:19-53:20] 打雷啊
[53:20-53:21] 那雷声就是
[53:21-53:22] 六百八
[53:22-53:22] 六百八
[53:23-53:25] 我是属于单狗人下的
[53:25-53:27] 六百八 六百八
[53:29-53:30] 不是
[53:31-53:33] 那个他当时四十小记错了
[53:33-53:36] 三姨夫说你当时那雷是
[53:36-53:36] 一百八
[53:36-53:38] 一百八
[53:38-53:39] 那怎么可能
[53:39-53:39] 就
[53:39-53:40] 六百八
[53:40-53:40] 六百八
[53:40-53:41] 就是这样
[53:41-53:43] 拉老爸
[53:43-53:44] 别讲了你
[53:44-53:46] 你俩要这么说的话
[53:46-53:47] 那我心里就有数了
[53:47-53:49] 有啥数啊
[53:49-53:50] 杨叔
[53:50-53:50] 杨叔
[53:52-53:53] 大状元
[53:54-53:54] 杨叔
[53:54-53:56] 好孩子真好
[53:56-53:58] 在场里成个状元
[53:59-54:00] 有点疼了
[54:01-54:02] 好啊
[54:02-54:03] 天放啊
[54:03-54:05] 这个志愿填了吗
[54:05-54:06] 你咋想的呀
[54:06-54:07] 哎呀
[54:07-54:08] 志愿呢
[54:11-54:13] 真丑呢
[54:13-54:15] 那就第一志愿就清华呗
[54:15-54:16] 哎呀行
[54:17-54:17] 第二志愿北大吧
[54:17-54:18] 没变强角吧
[54:19-54:21] 第三志愿真没想好
[54:21-54:22] 那我忙参一手修理厂
[54:24-54:24] 不是
[54:24-54:25] 咱厂啊
[54:25-54:28] 那清华北大修理厂
[54:28-54:29] 在我心里是一样的
[54:29-54:31] 一样可以拥有美好的明天
[54:31-54:32] 情商
[54:32-54:34] 看似情商实则退路吧
[54:36-54:37] 退路
[54:38-54:39] 退路小胆
[54:39-54:40] 变你变
[54:40-54:41] 天放考这老高分
[54:41-54:42] 没有那么高
[54:42-54:44] 他要啥退路
[54:44-54:44] 我告诉你们啊
[54:44-54:47] 你们俩今天一点退路不能咬
[54:48-54:49] 杨叔你心疼心疼
[54:49-54:50] 我嘴都起泡泡
[54:50-54:51] 你别吓我起泡泡
[54:51-54:52] 来来来
[54:53-54:55] 你俩爸妈上散亚
[54:55-54:55] 上得早
[54:55-54:56] 是不是
[54:56-54:58] 在生活上没有人照顾你们
[54:58-54:59] 我说过没有
[54:59-54:59] 你别喊
[54:59-55:00] 我说过没有
[55:00-55:01] 你千万别喊
[55:01-55:02] 在生活上有什么问题
[55:02-55:03] 叫张杨叔叔
[55:06-55:07] 杨叔叔
[55:10-55:11] 五十对
[55:12-55:12] 上
[55:12-55:13] 五十对
[55:13-55:13] 杨叔叔
[55:13-55:14] 十对
[55:14-55:15] 杨叔叔 五十对了
[55:15-55:16] 来来来
[55:16-55:16] 来吧
[55:16-55:17] 好
[55:17-55:18] 来吧
[55:20-55:20] 来
[55:20-55:21] 跳一个 跳一个
[55:21-55:21] 来
[55:21-55:22] 好
[55:22-55:23] 好
[55:24-55:26] 谁是王天放
[55:26-55:28] 我是王天放老师
[55:28-55:30] 你把他成绩单给我就行
[55:30-55:31] 邓老师
[55:32-55:33] 你跟我说这些都没有用
[55:33-55:34] 知道吗
[55:34-55:35] 我的使命
[55:35-55:38] 就是将成绩送到每一位考生手上
[55:38-55:39] 你这下来太沉了
[55:40-55:42] 谁是王天放
[55:42-55:43] 我是王天放
[55:43-55:44] 高考成绩
[55:44-55:45] 直接宣布
[55:47-55:49] 这合适吗
[55:49-55:50] 宣
[55:51-55:53] 王天放
[55:53-55:54] 180分
[55:54-55:55] 哪颗啊
[55:55-55:56] 总分啊
[56:01-56:04] 180分整了这么大阵仗
[56:04-56:06] 怎么的 去年考70分啊这样
[56:09-56:10] 老弟 你听哥说
[56:10-56:11] 咋的都是骄傲
[56:11-56:11] 知道不带
[56:11-56:11] 你千万别
[56:11-56:12] 老弟
[56:12-56:13] 天放
[56:13-56:14] 小腾啊
[56:14-56:16] 怎么回事啊
[56:16-56:17] 你问他吧
[56:17-56:18] 都怪我
[56:18-56:21] 把天放高考成绩抄错了
[56:21-56:22] 你先别弄这些了
[56:22-56:24] 你赶快看看孩子有没有事啊
[56:24-56:25] 天放哥也太可怜了
[56:25-56:27] 现在指不定在什么地方哭呢
[56:27-56:27] 他现在
[56:27-56:29] 天放那个孩子
[56:29-56:31] 特别脆弱
[56:32-56:34] 心也重 我老弟
[56:34-56:36] 我就请求大家
[56:36-56:38] 千万别把这分的事跟别人说
[56:38-56:39] 好不好
[56:39-56:40] 咱就保密就完了
[56:40-56:41] 行不行
[56:41-56:41] 千万别
[56:41-56:43] 喂
[56:43-56:44] 我还是天放
[56:44-56:45] 我更新一条消息
[56:45-56:47] 我没考680
[56:47-56:48] 我考180
[56:48-56:51] 那个大家就自己在家做点啥吃吧
[56:51-56:53] 不用来我家吃饭了啊
[56:53-56:54] 升学业取消了
[56:54-56:55] 以上
[56:58-56:59] 天放好孩子
[56:59-57:00] 是啊
[57:00-57:01] 好坚强
[57:01-57:03] 这得给家里省钱啊
[57:03-57:03] 哥
[57:03-57:04] 不是
[57:04-57:06] 那已经到的人还能吃上饭吗
[57:06-57:06] 行吗
[57:06-57:07] 你别哭小东
[57:07-57:08] 你随便吃
[57:08-57:10] 另外
[57:10-57:13] 我明年一定会继续努力的
[57:17-57:19] 加油
[57:32-57:34] 天放啊
[57:34-57:35] 今年的成绩
[57:37-57:39] 老弟
[57:39-57:41] 哥还想说句话
[57:41-57:43] 不管考多少分
[57:43-57:44] 开心
[57:44-57:45] 快乐
[57:45-57:46] 好吗
