[00:00-00:02] 谢谢 谢谢
[00:02-00:04] 很多朋友经常会问我说
[59:58-60:00] 说我初中的时候可没少找你要钱呀
[60:00-60:02] 因为我初中的时候 那个时候离家远
[60:02-60:04] 我是在外边租房子住
[60:04-60:06] 那段时间就经常会有一些高年级同学
[60:06-60:08] 过来找我要保护费
[60:08-60:10] 要完保护费之后呢 就开始打我
[60:10-60:12] 就当时我都懵了
[60:12-60:14] 我说大哥你到时保护我呀
[60:22-60:24] 而且他们第一次找我要钱
[60:24-60:26] 把我拉到一个很黑的角落里
[60:26-60:28] 让我面对着墙
[60:28-60:30] 然后他们就在我身后问我说兄弟你有钱吗
[60:30-60:32] 我说有
[60:32-60:34] 他说你有多少
[60:34-60:36] 我说你要多少
[60:38-60:40] 他说你又说你现在身上有多少
[60:40-60:42] 我说两块五
[60:42-60:44] 他说行
[60:44-60:46] 就当时我就知道
[60:46-60:48] 我说多了
[60:48-60:50] 那两块应该就行
[60:50-60:52] 而且他这时候问旁边一个人
[60:52-60:54] 说你有钱吗
[60:54-60:56] 他说没有
[60:56-60:58] 走吧
[61:00-61:02] 我说你没这么讲道理的吗
[61:06-61:08] 但是后来就越来越不讲道理了
[61:08-61:10] 就是他们后来开始欺负我的时候
[61:10-61:12] 都不给我一个理由
[61:12-61:14] 我以为在被打之前
[61:14-61:16] 他们还指着我说了一句说今天这个事
[61:16-61:18] 和你没关系
[61:20-61:22] 后来我才知道我那天被欺负
[61:22-61:24] 是因为他们其中一个人失恋
[61:24-61:26] 打我
[61:26-61:28] 散散心
[61:28-61:30] 那也是我人生中第一次
[61:30-61:32] 因为爱情而受伤
[61:36-61:38] 但当时
[61:38-61:40] 我不知道他失恋
[61:40-61:42] 就是很奇怪
[61:42-61:44] 他在打你的时候
[61:44-61:46] 他泪流满面
[61:46-61:48] 而且观众他在打着打着
[61:48-61:50] 突然对着我喊出了一句说
[61:50-61:52] 你为什么要抛弃我
[61:52-61:54] 一句话把我喊懵了
[61:54-61:56] 我说你们这个的战友谕
[61:56-61:58] 这么强吗
[62:00-62:02] 这是我给别人三块钱的故事
[62:02-62:04] 让你知道了
[62:06-62:08] 真的很难
[62:08-62:10] 但是后来就有人问说
[62:10-62:12] 志顺啊 在那么艰难的时候
[62:12-62:14] 你是怎么过来的
[62:14-62:16] 其实我当时就相信了一句话
[62:16-62:18] 就是天将将大任于世人
[62:18-62:20] 也不过来
[62:20-62:22] 天将将大任于世人也
[62:22-62:24] 必先劳其筋骨
[62:24-62:26] 恶其体肤
[62:26-62:28] 就你这么一想心态都不一样了
[62:28-62:30] 他们没打我一下
[62:30-62:32] 那都是给我未来的世界天砖加瓦呀
[62:36-62:38] 就有时候打着打着都把我打骄傲了
[62:38-62:40] 就是放现在
[62:40-62:42] 我在那个黑暗的角落里
[62:42-62:44] 我都得唱一句
[62:44-62:46] 谁说站在光里的才是英雄
[62:50-62:52] 但后来我就想明白了
[62:52-62:54] 我就说这个不好的东西
[62:54-62:56] 你无论怎么合理化
[62:56-62:58] 它都不会变得合理
[62:58-63:00] 所以我后来就去找了我妈
[63:00-63:02] 所以说在这里给大家说
[63:02-63:04] 如果真有孩子的经历这些
[63:04-63:06] 孩子要告诉家长
[63:06-63:08] 就我妈就找了我的班主任
[63:08-63:10] 很快就帮我把事情解决了
[63:10-63:12] 然后我才意识到
[63:12-63:14] 这个天将将大任
[63:14-63:16] 这个大任指的是我的班主任呀
[63:16-63:18] 所以遇到这个事
[63:18-63:20] 大家千万不要想着做僱用者
[63:20-63:22] 也可以找找妈妈老师警察
[63:22-63:24] 他的帮助
[63:24-63:26] 他们就是你的正义联盟
[63:26-63:28] 谢谢大家
